PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrVehVol,8HrPedVol
317,BATHURST ST,,NEPTUNE DR,,31-Jan-1958,43.731534,-79.432603,2/26/2015,18391,991
320,BATHURST ST,,WILSON AVE,,14-Sep-1956,43.7373609,-79.434006,3/28/2015,25136,6296
321,BLOOR ST W,,BATHURST ST,,07-Apr-1928,43.665132,-79.411205,4/11/2015,15756,20464
327,DUNDAS ST W,,BLOOR ST W,,07-Mar-1928,43.6563079,-79.452406,4/11/2015,19755,5303
342,DANFORTH AVE,,CHESTER AVE,,06-Jan-1976,43.6775446,-79.351941,5/12/2015,10312,4132
343,DANFORTH AVE,,LOGAN AVE,,14-Jul-1928,43.6779704,-79.349668,5/12/2015,11526,6884
345,DANFORTH AVE,,PAPE AVE,,13-Jul-1928,43.6789035,-79.344862,5/12/2015,16303,13100
346,DANFORTH AVE,,JONES AVE,,19-Mar-1945,43.6798433,-79.340118,5/12/2015,13163,2832
347,DANFORTH AVE,,DONLANDS AVE,,19-Aug-1953,43.6804049,-79.33727,5/7/2015,13674,4429
348,DANFORTH AVE,,GREENWOOD AVE,,07-Dec-1928,43.6814824,-79.33234,5/7/2015,15446,3536
349,DANFORTH AVE,,COXWELL AVE,,07-Nov-1928,43.6833979,-79.323565,5/7/2015,19534,7267
351,DANFORTH AVE,,WOODBINE AVE,,07-Oct-1928,43.6856712,-79.312749,4/25/2015,21642,10131
352,DANFORTH AVE,,GLEDHILL AVE,PATRICIA DR,27-Jan-1953,43.6866856,-79.308555,5/7/2015,12852,1663
353,MAIN ST,,DANFORTH AVE,,07-May-1928,43.6881587,-79.301805,5/9/2015,15646,7102
355,DANFORTH AVE,,VICTORIA PARK AVE,,31-Jan-1958,43.6912366,-79.288311,5/9/2015,21459,5470
357,DANFORTH AVE,,DANFORTH RD,,03-Jan-1965,43.6936851,-79.277105,5/9/2015,10767,144
358,DANFORTH AVE,,WARDEN AVE,,01-Jan-1957,43.6943678,-79.273638,5/6/2015,16187,488
359,DANFORTH AVE,,BIRCHMOUNT RD,,31-Jan-1958,43.6969868,-79.26399,5/9/2015,10152,230
365,GERRARD ST E,,WOODBINE AVE,,01-Mar-1948,43.6808578,-79.31078,4/25/2015,19841,1784
373,GERRARD ST E,,LOGAN AVE,,05-May-1952,43.6670975,-79.345175,7/30/2015,9363,2688
375,DANFORTH RD,,KENNEDY RD,,02-Nov-1964,43.7147913,-79.260862,4/23/2015,11783,124
376,DANFORTH RD,,MACK AVE,,02-Mar-1965,43.7001729,-79.27272,6/8/2015,8898,164
378,DANFORTH RD,,BRIMLEY RD,,20-Sep-1960,43.7351797,-79.247409,7/22/2015,16913,265
380,LAWRENCE AVE E,,MCCOWAN RD,,11-Feb-1960,43.7555379,-79.245446,5/2/2015,28053,2239
384,BATHURST ST,,DAVENPORT RD,,28-Aug-1929,43.6766969,-79.415765,4/11/2015,20361,657
391,OLD WESTON RD,,DAVENPORT RD,,06-Dec-1959,43.6710913,-79.462297,4/23/2015,8478,144
392,ST CLAIR AVE E,,DANFORTH RD,,24-Oct-1961,43.7168627,-79.259873,4/28/2015,20947,371
394,ROGERS RD,,KEELE ST,,31-Jan-1958,43.6821633,-79.471576,4/22/2015,14539,2874
409,LAWRENCE AVE E,,WARDEN AVE,,31-Jan-1958,43.7453776,-79.29475,5/6/2015,36985,2352
410,LAWRENCE AVE E,,BIRCHMOUNT RD,,03-Feb-1969,43.7475,-79.28482,7/29/2015,30952,1165
417,DANFORTH RD,,BIRCHMOUNT RD,,16-Jul-1969,43.70704,-79.26811,4/30/2015,15487,960
418,DANFORTH RD,,WARDEN AVE,,31-Jan-1958,43.69726,-79.27481,5/6/2015,15485,385
423,BATHURST ST,,LAWRENCE AVE W,,09-Jun-1956,43.71929,-79.42976,4/11/2015,22429,3429
426,DUFFERIN ST,,LAWRENCE AVE W,,31-Jan-1958,43.71407,-79.4547,9/17/2015,30202,4568
446,O CONNOR DR,,WOODBINE AVE,,31-Jan-1958,43.70015,-79.31905,4/25/2015,31011,406
456,EGLINTON AVE E,,WARDEN AVE,,17-Nov-1955,43.72787,-79.28761,5/6/2015,35905,1947
477,DANFORTH AVE,,PLAYTER BLVD,,22-Dec-1976,43.67692,-79.35508,5/12/2015,9921,3294
480,ST CLAIR AVE W,,BATHURST ST,,27-Aug-1928,43.68314,-79.41828,4/11/2015,22508,7838
483,DUNDAS ST W,,CHESTNUT ST,,31-Dec-1964,43.65524,-79.38599,4/13/2015,10171,17916
489,ST CLAIR AVE W,,LANSDOWNE AVE,,30-Aug-1929,43.67628,-79.45058,8/12/2015,9082,3079
490,ST CLAIR AVE W,,CALEDONIA RD,CALEDONIA PARK RD,20-Oct-1948,43.67534,-79.45476,4/23/2015,17142,1496
491,ST CLAIR AVE W,,SILVERTHORN AVE,HOUNSLOW HEATH RD,18-Sep-1950,43.67421,-79.46,4/23/2015,9576,1341
492,ST CLAIR AVE W,,OLD WESTON RD,,31-Jul-1941,43.67353,-79.46302,4/23/2015,16915,2020
493,ST CLAIR AVE W,,KEELE ST,WESTON RD,21-Dec-1939,43.67254,-79.46762,4/22/2015,23692,3203
496,DUNDAS ST W,,SCARLETT RD,,31-Jan-1958,43.66552,-79.49919,4/18/2015,17517,320
505,BATHURST ST,,AVA RD,,01-Jan-1967,43.697953,-79.424341,4/1/2015,16511,282
506,BATHURST ST,,WARWICK AVE,,01-Jan-1967,43.69529,-79.42322,4/1/2015,15207,339
535,STEELES AVE W,,JANE ST,,24-Aug-1967,43.77549,-79.52168,5/13/2015,33610,1910
537,KING ST W,,NIAGARA ST,,12-Jan-1961,43.64292,-79.40767,4/2/2015,11450,2931
548,QUEEN ST E,,WOODBINE AVE,,25-Oct-1955,43.66878,-79.3058,4/25/2015,21648,5864
563,THE QUEENSWAY,,STEPHEN DR,,01-Jan-1957,43.63041,-79.48422,1/15/2015,19684,230
576,KEELE ST,,ANNETTE ST,,16-Oct-1952,43.66366,-79.46375,4/21/2015,17195,933
602,STEELES AVE W,,KEELE ST,,21-Feb-1968,43.781523,-79.494495,5/13/2015,39154,1414
605,COLLEGE ST,,DUFFERIN ST,,19-Nov-1948,43.6525538,-79.432536,8/10/2015,15553,3738
620,DON MILLS RD,,OVERLEA BLVD,GATEWAY BLVD,14-Jan-1978,43.7099841,-79.334385,5/20/2015,32000,6014
630,WILSON AVE,,WILSON HEIGHTS BLVD,TIPPET RD,31-Jan-1958,43.7345828,-79.4472,4/7/2015,19449,821
640,DUNDAS ST W,,SORAUREN AVE,,05-Apr-1969,43.6511963,-79.445285,6/8/2015,13636,608
660,WOODBINE AVE,,LUMSDEN AVE,MORTIMER AVE,31-Jan-1958,43.6927726,-79.315855,4/25/2015,16749,1158
670,BATHURST ST,,INVERMAY AVE,,29-Dec-1965,43.7414973,-79.43502,4/7/2015,15664,748
671,BATHURST ST,,YORK DOWNS DR,,18-Nov-1958,43.7472416,-79.436456,3/23/2015,18000,462
673,BATHURST ST,335m SOUTH OF,ELLERSLIE AVE,PRIVATE ACCESS,27-Jul-1961,43.7624442,-79.440171,4/1/2015,12940,935
674,BATHURST ST,,HORSHAM AVE,BLUE FLAG GT,01-Jun-1965,43.7686039,-79.441657,3/23/2015,17483,170
675,BATHURST ST,,FINCH AVE W,,20-Mar-1962,43.7738567,-79.442978,3/28/2015,30852,3320
676,BATHURST ST,,DREWRY AVE,ANTIBES DR,08-Oct-1966,43.7810687,-79.44481,3/23/2015,25127,1614
677,BATHURST ST,,ROCKFORD RD,DEWLANE DR,29-Dec-1966,43.785938,-79.446008,3/23/2015,21721,1193
678,STEELES AVE W,,BATHURST ST,,02-Feb-1966,43.79245,-79.445714,3/23/2015,36119,3202
681,LAIRD DR,,MCRAE DR,WICKSTEED AVE,01-Jan-1957,43.710376,-79.363498,1/14/2015,16676,431
689,WARDEN AVE,,FIRVALLEY CRT,,23-Dec-1965,43.70369,-79.27748,5/6/2015,8457,821
697,ELLESMERE RD,,MIDLAND AVE,,28-Dec-1965,43.76799,-79.27111,7/16/2015,31022,1667
699,MCCOWAN RD,,ELLESMERE RD,,31-Dec-1965,43.7722,-79.25149,5/2/2015,29600,1601
